"parameter","prior","approximation","statistic","p_value","KS_x","KS_y"
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.341845136708538,0.423909449498845
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.34230195973552,0.45617850222944
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.342447016707499,0.495712439932798
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.346614081005373,0.441524113414964
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.350636867394905,0.390697802714423
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.350851223148176,0.428616915241153
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.351291027185918,0.461282550592589
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.354190298841251,0.43663678513796
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.354859437653502,0.463958378922588
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.3552770757845,0.497140532221459
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.357649273487443,0.484776833960485
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.361692137711608,0.433482662321376
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.362400836644631,0.45988241191447
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.364907807620323,0.444378178280211
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.365553921131907,0.472236315919206
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.365572940942242,0.514707216986403
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.365670946065567,0.555337573824366
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.369162173814149,0.516897834146572
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.372383556438813,0.484746122797253
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.375698276094232,0.450419438319049
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.379913356755946,0.395112217186122
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.386252848521626,0.29030120288048
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.386288638108596,0.332381328568776
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.388181517800913,0.331186871335444
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.394961311423823,0.216115784469843
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.39505455901429,0.256857003053044
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.398247942407971,0.225357739874894
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.401307057762773,0.196987238928304
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.40157377371526,0.233686235222524
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.405710120330019,0.180213703227145
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.408098433259279,0.167474482154664
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.412785450207749,0.101170031584078
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.412862060752693,0.14229893259799
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.419831998822404,0.0227970313058174
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.423691310869356,-0.0242199413485348
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.424369993359577,0.00287926221254565
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.424877316401979,0.0339715453838612
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.426673765576687,0.0350241468249748
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.427547607102329,0.0575756842082185
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.42899749218359,0.066704047054956
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.431203480046912,0.0582134303781055
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.433384218326177,0.0503111886087912
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.437537840337491,-0.00356390090308764
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.437580960634568,0.0383454019363512
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.440550623465022,0.0120593559503766
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.444280136905876,-0.0319330028058328
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.444811815372238,-0.00140825850122156
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.446952933815391,-0.00838726457063959
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.447134716989269,0.030290865940101
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.448757003775241,0.0354018621308863
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.448763013584002,0.0781759269435033
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.449152729444482,0.112008735053068
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.453950618728239,0.0431206973677093
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.457328743001822,0.00731653562632056
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.457503308019789,0.0461628662074882
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.46053423828745,0.0184491443192402
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.460765367624971,0.0559773927406448
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.46133797239372,0.0855484575973688
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.464898351507279,0.0454973278910273
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.469436496106724,-0.017338045549664
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.471047859916249,-0.0119725182251364
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.471205604806942,0.0272657610236765
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.473583958202125,0.0147586206036492
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.47708939658536,-0.0240122604043011
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.479075627977518,-0.0273820325908399
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.479563868472628,0.00415491897472414
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.479765094704376,0.042379980343796
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.480971230386949,0.0571882795249447
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.481318898849658,0.092000891251044
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.487819978472542,-0.0165755015386905
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.490734615061013,-0.0415793062027563
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.491680583390056,-0.0207084935865228
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.492131690897772,0.0116937442338588
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.4967384006672,-0.0527393595083535
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.497273823570499,-0.0223018694227177
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.499088976301025,-0.0216851049799727
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.499109081444438,0.0207605052647194
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.499489949305859,0.0547994926371232
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.501309828758247,0.0553061133035695
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.505118227971019,0.00947552986005254
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.508021757933901,-0.0152694642117749
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.508824395304545,0.00894129805291511
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.513852938411911,-0.065321518156775
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.51436761179509,-0.0344005152752767
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.515208147232857,-0.0110728674289798
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.522478653742757,-0.137578722837933
"log_kappa","pc","IMPS",0.0392701475670309,0.372244181510426,0.52730366420193,-0.207098747927168
